t,u1,u2
6.6500e+00,1.2162e+01,1.3027e+01
6.7000e+00,1.1861e+01,1.2718e+01
6.7500e+00,1.1606e+01,1.2367e+01
6.8000e+00,1.1567e+01,1.2212e+01
6.8500e+00,1.1672e+01,1.2381e+01
6.9000e+00,1.1749e+01,1.2824e+01
6.9500e+00,1.1742e+01,1.3340e+01
7.0000e+00,1.1706e+01,1.3711e+01
7.0500e+00,1.1668e+01,1.3828e+01
7.1000e+00,1.1608e+01,1.3738e+01
7.1500e+00,1.1550e+01,1.3607e+01
7.2000e+00,1.1595e+01,1.3612e+01
7.2500e+00,1.1792e+01,1.3820e+01
7.3000e+00,1.2045e+01,1.4101e+01
7.3500e+00,1.2184e+01,1.4217e+01
7.4000e+00,1.2139e+01,1.4058e+01
7.4500e+00,1.2005e+01,1.3797e+01
7.5000e+00,1.1920e+01,1.3719e+01
7.5500e+00,1.1922e+01,1.3919e+01
7.6000e+00,1.1975e+01,1.4239e+01
7.6500e+00,1.2086e+01,1.4475e+01
7.7000e+00,1.2303e+01,1.4569e+01
7.7500e+00,1.2592e+01,1.4567e+01
7.8000e+00,1.2786e+01,1.4496e+01
7.8500e+00,1.2707e+01,1.4362e+01
7.9000e+00,1.2342e+01,1.4214e+01
7.9500e+00,1.1878e+01,1.4129e+01
8.0000e+00,1.1578e+01,1.4133e+01
8.0500e+00,1.1604e+01,1.4172e+01
8.1000e+00,1.1934e+01,1.4167e+01
8.1500e+00,1.2421e+01,1.4097e+01
8.2000e+00,1.2902e+01,1.4030e+01
8.2500e+00,1.3281e+01,1.4043e+01
8.3000e+00,1.3543e+01,1.4129e+01
8.3500e+00,1.3730e+01,1.4200e+01
8.4000e+00,1.3875e+01,1.4180e+01
8.4500e+00,1.3954e+01,1.4075e+01
8.5000e+00,1.3919e+01,1.3941e+01
8.5500e+00,1.3796e+01,1.3816e+01
8.6000e+00,1.3691e+01,1.3686e+01
8.6500e+00,1.3687e+01,1.3519e+01
8.7000e+00,1.3767e+01,1.3319e+01
8.7500e+00,1.3870e+01,1.3115e+01
8.8000e+00,1.3960e+01,1.2926e+01
8.8500e+00,1.4015e+01,1.2776e+01
8.9000e+00,1.4008e+01,1.2725e+01
8.9500e+00,1.3936e+01,1.2822e+01
9.0000e+00,1.3848e+01,1.3023e+01
9.0500e+00,1.3811e+01,1.3189e+01
9.1000e+00,1.3824e+01,1.3209e+01
9.1500e+00,1.3795e+01,1.3119e+01
9.2000e+00,1.3642e+01,1.3061e+01
9.2500e+00,1.3389e+01,1.3104e+01
9.3000e+00,1.3148e+01,1.3191e+01
9.3500e+00,1.3024e+01,1.3258e+01
9.4000e+00,1.3048e+01,1.3304e+01
9.4500e+00,1.3176e+01,1.3332e+01
9.5000e+00,1.3315e+01,1.3297e+01
9.5500e+00,1.3378e+01,1.3157e+01
9.6000e+00,1.3336e+01,1.2943e+01
9.6500e+00,1.3232e+01,1.2775e+01
9.7000e+00,1.3140e+01,1.2762e+01
9.7500e+00,1.3092e+01,1.2913e+01
9.8000e+00,1.3046e+01,1.3116e+01
9.8500e+00,1.2940e+01,1.3240e+01
9.9000e+00,1.2796e+01,1.3239e+01
9.9500e+00,1.2716e+01,1.3142e+01
1.0000e+01,1.2776e+01,1.2976e+01
1.0050e+01,1.2951e+01,1.2748e+01
1.0100e+01,1.3166e+01,1.2508e+01
1.0150e+01,1.3362e+01,1.2370e+01
1.0200e+01,1.3509e+01,1.2407e+01
1.0250e+01,1.3594e+01,1.2563e+01
1.0300e+01,1.3627e+01,1.2714e+01
1.0350e+01,1.3645e+01,1.2808e+01
1.0400e+01,1.3665e+01,1.2905e+01
1.0450e+01,1.3664e+01,1.3076e+01
1.0500e+01,1.3621e+01,1.3301e+01
1.0550e+01,1.3562e+01,1.3485e+01
1.0600e+01,1.3545e+01,1.3542e+01
1.0650e+01,1.3578e+01,1.3466e+01
1.0700e+01,1.3572e+01,1.3327e+01
1.0750e+01,1.3426e+01,1.3212e+01
1.0800e+01,1.3155e+01,1.3192e+01
1.0850e+01,1.2910e+01,1.3291e+01
1.0900e+01,1.2864e+01,1.3431e+01
1.0950e+01,1.3076e+01,1.3458e+01
1.1000e+01,1.3407e+01,1.3282e+01
1.1050e+01,1.3632e+01,1.3004e+01
1.1100e+01,1.3641e+01,1.2834e+01
1.1150e+01,1.3472e+01,1.2865e+01
1.1200e+01,1.3204e+01,1.2977e+01
1.1250e+01,1.2894e+01,1.2995e+01
1.1300e+01,1.2646e+01,1.2876e+01
1.1350e+01,1.2619e+01,1.2715e+01
1.1400e+01,1.2866e+01,1.2585e+01
1.1450e+01,1.3223e+01,1.2455e+01
